dimensionality,subspace,bins,support,support_fraction,region
2,"D674,D841","0,0",2775,0.7398027192748601,0 <= D674 < 0.1 AND 0 <= D841 < 0.1
2,"D685,D697","0,0",2775,0.7398027192748601,0 <= D685 < 0.1 AND 0 <= D697 < 0.1
2,"D4,D117","0,0",2774,0.7395361237003466,0 <= D4 < 0.1 AND 0 <= D117 < 0.1
2,"D84,D514","0,0",2774,0.7395361237003466,0 <= D84 < 0.1 AND 0 <= D514 < 0.1
2,"D110,D166","0,0",2774,0.7395361237003466,0 <= D110 < 0.1 AND 0 <= D166 < 0.1
2,"D135,D844","0,0",2774,0.7395361237003466,0 <= D135 < 0.1 AND 0 <= D844 < 0.1
2,"D155,D687","0,0",2774,0.7395361237003466,0 <= D155 < 0.0764706 AND 0 <= D687 < 0.05
2,"D156,D626","0,0",2774,0.7395361237003466,0 <= D156 < 0.0714286 AND 0 <= D626 < 0.07
2,"D180,D426","4,0",2774,0.7395361237003466,0.391951 <= D180 < 0.466313 AND 0 <= D426 < 0.1
2,"D187,D598","8,0",2774,0.7395361237003466,0.8 <= D187 < 0.9 AND 0 <= D598 < 0.1
2,"D211,D626","0,0",2774,0.7395361237003466,0 <= D211 < 0.1 AND 0 <= D626 < 0.07
2,"D228,D842","0,0",2774,0.7395361237003466,0 <= D228 < 0.0666667 AND 0 <= D842 < 0.1
2,"D228,D925","0,0",2774,0.7395361237003466,0 <= D228 < 0.0666667 AND 0 <= D925 < 0.1
2,"D416,D844","0,0",2774,0.7395361237003466,0 <= D416 < 0.1 AND 0 <= D844 < 0.1
2,"D4,D108","0,0",2773,0.7392695281258331,0 <= D4 < 0.1 AND 0 <= D108 < 0.1
2,"D22,D418","0,0",2773,0.7392695281258331,0 <= D22 < 0.0896552 AND 0 <= D418 < 0.08
2,"D37,D73","0,0",2773,0.7392695281258331,0 <= D37 < 0.1 AND 0 <= D73 < 0.0736891
2,"D129,D216","0,0",2773,0.7392695281258331,0 <= D129 < 0.1 AND 0 <= D216 < 0.1
2,"D135,D841","0,0",2773,0.7392695281258331,0 <= D135 < 0.1 AND 0 <= D841 < 0.1
2,"D156,D675","0,0",2773,0.7392695281258331,0 <= D156 < 0.0714286 AND 0 <= D675 < 0.1
2,"D165,D175","0,1",2773,0.7392695281258331,0 <= D165 < 0.1 AND 0.0991675 <= D175 < 0.179435
2,"D175,D215","1,0",2773,0.7392695281258331,0.0991675 <= D175 < 0.179435 AND 0 <= D215 < 0.1
2,"D187,D686","8,0",2773,0.7392695281258331,0.8 <= D187 < 0.9 AND 0 <= D686 < 0.1
2,"D211,D675","0,0",2773,0.7392695281258331,0 <= D211 < 0.1 AND 0 <= D675 < 0.1
2,"D217,D227","5,0",2773,0.7392695281258331,0.5 <= D217 < 0.6 AND 0 <= D227 < 0.1
2,"D457,D597","0,0",2773,0.7392695281258331,0 <= D457 < 0.052381 AND 0 <= D597 < 0.1
2,"D624,D626","0,0",2773,0.7392695281258331,0 <= D624 < 0.1 AND 0 <= D626 < 0.07
2,"D4,D187","0,8",2772,0.7390029325513197,0 <= D4 < 0.1 AND 0.8 <= D187 < 0.9
2,"D22,D675","0,0",2772,0.7390029325513197,0 <= D22 < 0.0896552 AND 0 <= D675 < 0.1
2,"D53,D110","0,0",2772,0.7390029325513197,0 <= D53 < 0.087848 AND 0 <= D110 < 0.1
2,"D57,D841","0,0",2772,0.7390029325513197,0 <= D57 < 0.0964878 AND 0 <= D841 < 0.1
2,"D110,D842","0,0",2772,0.7390029325513197,0 <= D110 < 0.1 AND 0 <= D842 < 0.1
2,"D135,D180","0,4",2772,0.7390029325513197,0 <= D135 < 0.1 AND 0.391951 <= D180 < 0.466313
2,"D165,D514","0,0",2772,0.7390029325513197,0 <= D165 < 0.1 AND 0 <= D514 < 0.1
2,"D185,D843","0,0",2772,0.7390029325513197,0 <= D185 < 0.1 AND 0 <= D843 < 0.1
2,"D215,D514","0,0",2772,0.7390029325513197,0 <= D215 < 0.1 AND 0 <= D514 < 0.1
2,"D514,D598","0,0",2772,0.7390029325513197,0 <= D514 < 0.1 AND 0 <= D598 < 0.1
2,"D697,D748","0,0",2772,0.7390029325513197,0 <= D697 < 0.1 AND 0 <= D748 < 0.1
2,"D4,D22","0,0",2771,0.7387363369768062,0 <= D4 < 0.1 AND 0 <= D22 < 0.0896552
2,"D55,D611","0,0",2771,0.7387363369768062,0 <= D55 < 0.0945099 AND 0 <= D611 < 0.05
2,"D57,D59","0,0",2771,0.7387363369768062,0 <= D57 < 0.0964878 AND 0 <= D59 < 0.1
2,"D57,D361","0,0",2771,0.7387363369768062,0 <= D57 < 0.0964878 AND 0 <= D361 < 0.1
2,"D59,D750","0,0",2771,0.7387363369768062,0 <= D59 < 0.1 AND 0 <= D750 < 0.1
2,"D65,D155","0,0",2771,0.7387363369768062,0 <= D65 < 0.0833864 AND 0 <= D155 < 0.0764706
2,"D73,D164","0,0",2771,0.7387363369768062,0 <= D73 < 0.0736891 AND 0 <= D164 < 0.1
2,"D73,D214","0,0",2771,0.7387363369768062,0 <= D73 < 0.0736891 AND 0 <= D214 < 0.0642111
2,"D73,D228","0,0",2771,0.7387363369768062,0 <= D73 < 0.0736891 AND 0 <= D228 < 0.0666667
2,"D129,D165","0,0",2771,0.7387363369768062,0 <= D129 < 0.1 AND 0 <= D165 < 0.1
2,"D129,D215","0,0",2771,0.7387363369768062,0 <= D129 < 0.1 AND 0 <= D215 < 0.1
2,"D426,D583","0,0",2771,0.7387363369768062,0 <= D426 < 0.1 AND 0 <= D583 < 0.1
2,"D611,D661","0,0",2771,0.7387363369768062,0 <= D611 < 0.05 AND 0 <= D661 < 0.1
2,"D611,D674","0,0",2771,0.7387363369768062,0 <= D611 < 0.05 AND 0 <= D674 < 0.1
2,"D699,D741","0,0",2771,0.7387363369768062,0 <= D699 < 0.1 AND 0 <= D741 < 0.0869565
2,"D22,D86","0,0",2770,0.7384697414022927,0 <= D22 < 0.0896552 AND 0 <= D86 < 0.0846353
2,"D22,D470","0,0",2770,0.7384697414022927,0 <= D22 < 0.0896552 AND 0 <= D470 < 0.0583333
2,"D55,D161","0,0",2770,0.7384697414022927,0 <= D55 < 0.0945099 AND 0 <= D161 < 0.075
2,"D55,D626","0,0",2770,0.7384697414022927,0 <= D55 < 0.0945099 AND 0 <= D626 < 0.07
2,"D129,D609","0,0",2770,0.7384697414022927,0 <= D129 < 0.1 AND 0 <= D609 < 0.075
2,"D157,D674","0,0",2770,0.7384697414022927,0 <= D157 < 0.1 AND 0 <= D674 < 0.1
2,"D161,D168","0,0",2770,0.7384697414022927,0 <= D161 < 0.075 AND 0 <= D168 < 0.0714286
2,"D187,D741","8,0",2770,0.7384697414022927,0.8 <= D187 < 0.9 AND 0 <= D741 < 0.0869565
2,"D418,D504","0,0",2770,0.7384697414022927,0 <= D418 < 0.08 AND 0 <= D504 < 0.1
2,"D808,D934","0,0",2770,0.7384697414022927,0 <= D808 < 0.075 AND 0 <= D934 < 0.1
2,"D117,D936","0,0",2769,0.7382031458277792,0 <= D117 < 0.1 AND 0 <= D936 < 0.1
2,"D135,D611","0,0",2769,0.7382031458277792,0 <= D135 < 0.1 AND 0 <= D611 < 0.05
2,"D180,D185","4,0",2769,0.7382031458277792,0.391951 <= D180 < 0.466313 AND 0 <= D185 < 0.1
2,"D187,D583","8,0",2769,0.7382031458277792,0.8 <= D187 < 0.9 AND 0 <= D583 < 0.1
2,"D223,D418","0,0",2769,0.7382031458277792,0 <= D223 < 0.096968 AND 0 <= D418 < 0.08
2,"D360,D842","0,0",2769,0.7382031458277792,0 <= D360 < 0.1 AND 0 <= D842 < 0.1
2,"D462,D504","0,0",2769,0.7382031458277792,0 <= D462 < 0.0666667 AND 0 <= D504 < 0.1
1,D63,0,2768,0.7379365502532658,0 <= D63 < 0.0745698
2,"D24,D449","0,0",2768,0.7379365502532658,0 <= D24 < 0.1 AND 0 <= D449 < 0.0875
2,"D37,D55","0,0",2768,0.7379365502532658,0 <= D37 < 0.1 AND 0 <= D55 < 0.0945099
2,"D53,D685","0,0",2768,0.7379365502532658,0 <= D53 < 0.087848 AND 0 <= D685 < 0.1
2,"D57,D685","0,0",2768,0.7379365502532658,0 <= D57 < 0.0964878 AND 0 <= D685 < 0.1
2,"D58,D164","0,0",2768,0.7379365502532658,0 <= D58 < 0.1 AND 0 <= D164 < 0.1
2,"D58,D214","0,0",2768,0.7379365502532658,0 <= D58 < 0.1 AND 0 <= D214 < 0.0642111
2,"D73,D416","0,0",2768,0.7379365502532658,0 <= D73 < 0.0736891 AND 0 <= D416 < 0.1
2,"D86,D165","0,0",2768,0.7379365502532658,0 <= D86 < 0.0846353 AND 0 <= D165 < 0.1
2,"D86,D215","0,0",2768,0.7379365502532658,0 <= D86 < 0.0846353 AND 0 <= D215 < 0.1
2,"D129,D166","0,0",2768,0.7379365502532658,0 <= D129 < 0.1 AND 0 <= D166 < 0.1
2,"D158,D610","0,0",2768,0.7379365502532658,0 <= D158 < 0.1 AND 0 <= D610 < 0.1
2,"D175,D223","1,0",2768,0.7379365502532658,0.0991675 <= D175 < 0.179435 AND 0 <= D223 < 0.096968
2,"D217,D662","5,0",2768,0.7379365502532658,0.5 <= D217 < 0.6 AND 0 <= D662 < 0.1
2,"D223,D844","0,0",2768,0.7379365502532658,0 <= D223 < 0.096968 AND 0 <= D844 < 0.1
2,"D417,D621","0,0",2768,0.7379365502532658,0 <= D417 < 0.0625 AND 0 <= D621 < 0.052381
2,"D806,D936","0,0",2768,0.7379365502532658,0 <= D806 < 0.1 AND 0 <= D936 < 0.1
2,"D22,D168","0,0",2767,0.7376699546787523,0 <= D22 < 0.0896552 AND 0 <= D168 < 0.0714286
2,"D53,D611","0,0",2767,0.7376699546787523,0 <= D53 < 0.087848 AND 0 <= D611 < 0.05
2,"D55,D84","0,0",2767,0.7376699546787523,0 <= D55 < 0.0945099 AND 0 <= D84 < 0.1
2,"D118,D596","0,0",2767,0.7376699546787523,0 <= D118 < 0.0922243 AND 0 <= D596 < 0.1
2,"D135,D419","0,0",2767,0.7376699546787523,0 <= D135 < 0.1 AND 0 <= D419 < 0.1
2,"D135,D583","0,0",2767,0.7376699546787523,0 <= D135 < 0.1 AND 0 <= D583 < 0.1
2,"D156,D748","0,0",2767,0.7376699546787523,0 <= D156 < 0.0714286 AND 0 <= D748 < 0.1
2,"D158,D460","0,0",2767,0.7376699546787523,0 <= D158 < 0.1 AND 0 <= D460 < 0.1
2,"D163,D457","0,0",2767,0.7376699546787523,0 <= D163 < 0.09 AND 0 <= D457 < 0.052381
2,"D211,D748","0,0",2767,0.7376699546787523,0 <= D211 < 0.1 AND 0 <= D748 < 0.1
2,"D216,D417","0,0",2767,0.7376699546787523,0 <= D216 < 0.1 AND 0 <= D417 < 0.0625
2,"D223,D688","0,0",2767,0.7376699546787523,0 <= D223 < 0.096968 AND 0 <= D688 < 0.1
2,"D418,D607","0,0",2767,0.7376699546787523,0 <= D418 < 0.08 AND 0 <= D607 < 0.0928571
2,"D449,D597","0,0",2767,0.7376699546787523,0 <= D449 < 0.0875 AND 0 <= D597 < 0.1
2,"D504,D937","0,0",2767,0.7376699546787523,0 <= D504 < 0.1 AND 0 <= D937 < 0.1
2,"D4,D135","0,0",2766,0.7374033591042388,0 <= D4 < 0.1 AND 0 <= D135 < 0.1
2,"D65,D168","0,0",2766,0.7374033591042388,0 <= D65 < 0.0833864 AND 0 <= D168 < 0.0714286
2,"D84,D686","0,0",2766,0.7374033591042388,0 <= D84 < 0.1 AND 0 <= D686 < 0.1
2,"D108,D936","0,0",2766,0.7374033591042388,0 <= D108 < 0.1 AND 0 <= D936 < 0.1
2,"D119,D609","0,0",2766,0.7374033591042388,0 <= D119 < 0.1 AND 0 <= D609 < 0.075
2,"D156,D598","0,0",2766,0.7374033591042388,0 <= D156 < 0.0714286 AND 0 <= D598 < 0.1
2,"D156,D741","0,0",2766,0.7374033591042388,0 <= D156 < 0.0714286 AND 0 <= D741 < 0.0869565
2,"D168,D187","0,8",2766,0.7374033591042388,0 <= D168 < 0.0714286 AND 0.8 <= D187 < 0.9
2,"D180,D217","4,5",2766,0.7374033591042388,0.391951 <= D180 < 0.466313 AND 0.5 <= D217 < 0.6
2,"D203,D514","0,0",2766,0.7374033591042388,0 <= D203 < 0.0976333 AND 0 <= D514 < 0.1
2,"D211,D598","0,0",2766,0.7374033591042388,0 <= D211 < 0.1 AND 0 <= D598 < 0.1
2,"D211,D741","0,0",2766,0.7374033591042388,0 <= D211 < 0.1 AND 0 <= D741 < 0.0869565
2,"D460,D842","0,0",2766,0.7374033591042388,0 <= D460 < 0.1 AND 0 <= D842 < 0.1
2,"D672,D937","0,0",2766,0.7374033591042388,0 <= D672 < 0.0857143 AND 0 <= D937 < 0.1
2,"D24,D155","0,0",2765,0.7371367635297255,0 <= D24 < 0.1 AND 0 <= D155 < 0.0764706
2,"D55,D336","0,0",2765,0.7371367635297255,0 <= D55 < 0.0945099 AND 0 <= D336 < 0.1
2,"D57,D86","0,0",2765,0.7371367635297255,0 <= D57 < 0.0964878 AND 0 <= D86 < 0.0846353
2,"D57,D449","0,0",2765,0.7371367635297255,0 <= D57 < 0.0964878 AND 0 <= D449 < 0.0875
2,"D109,D187","0,8",2765,0.7371367635297255,0 <= D109 < 0.0833333 AND 0.8 <= D187 < 0.9
2,"D119,D457","0,0",2765,0.7371367635297255,0 <= D119 < 0.1 AND 0 <= D457 < 0.052381
2,"D158,D675","0,0",2765,0.7371367635297255,0 <= D158 < 0.1 AND 0 <= D675 < 0.1
2,"D165,D449","0,0",2765,0.7371367635297255,0 <= D165 < 0.1 AND 0 <= D449 < 0.0875
2,"D185,D688","0,0",2765,0.7371367635297255,0 <= D185 < 0.1 AND 0 <= D688 < 0.1
2,"D212,D843","0,0",2765,0.7371367635297255,0 <= D212 < 0.0993831 AND 0 <= D843 < 0.1
2,"D215,D449","0,0",2765,0.7371367635297255,0 <= D215 < 0.1 AND 0 <= D449 < 0.0875
2,"D449,D609","0,0",2765,0.7371367635297255,0 <= D449 < 0.0875 AND 0 <= D609 < 0.075
2,"D457,D687","0,0",2765,0.7371367635297255,0 <= D457 < 0.052381 AND 0 <= D687 < 0.05
2,"D621,D624","0,0",2765,0.7371367635297255,0 <= D621 < 0.052381 AND 0 <= D624 < 0.1
2,"D37,D597","0,0",2764,0.736870167955212,0 <= D37 < 0.1 AND 0 <= D597 < 0.1
2,"D110,D426","0,0",2764,0.736870167955212,0 <= D110 < 0.1 AND 0 <= D426 < 0.1
2,"D228,D417","0,0",2764,0.736870167955212,0 <= D228 < 0.0666667 AND 0 <= D417 < 0.0625
2,"D416,D597","0,0",2764,0.736870167955212,0 <= D416 < 0.1 AND 0 <= D597 < 0.1
2,"D607,D662","0,0",2764,0.736870167955212,0 <= D607 < 0.0928571 AND 0 <= D662 < 0.1
2,"D4,D24","0,0",2763,0.7366035723806985,0 <= D4 < 0.1 AND 0 <= D24 < 0.1
2,"D37,D457","0,0",2763,0.7366035723806985,0 <= D37 < 0.1 AND 0 <= D457 < 0.052381
2,"D53,D937","0,0",2763,0.7366035723806985,0 <= D53 < 0.087848 AND 0 <= D937 < 0.1
2,"D55,D361","0,0",2763,0.7366035723806985,0 <= D55 < 0.0945099 AND 0 <= D361 < 0.1
2,"D68,D216","0,0",2763,0.7366035723806985,0 <= D68 < 0.09375 AND 0 <= D216 < 0.1
2,"D135,D685","0,0",2763,0.7366035723806985,0 <= D135 < 0.1 AND 0 <= D685 < 0.1
2,"D195,D514","0,0",2763,0.7366035723806985,0 <= D195 < 0.0998499 AND 0 <= D514 < 0.1
2,"D426,D621","0,0",2763,0.7366035723806985,0 <= D426 < 0.1 AND 0 <= D621 < 0.052381
2,"D583,D596","0,0",2763,0.7366035723806985,0 <= D583 < 0.1 AND 0 <= D596 < 0.1
2,"D596,D609","0,0",2763,0.7366035723806985,0 <= D596 < 0.1 AND 0 <= D609 < 0.075
2,"D598,D607","0,0",2763,0.7366035723806985,0 <= D598 < 0.1 AND 0 <= D607 < 0.0928571
2,"D610,D842","0,0",2763,0.7366035723806985,0 <= D610 < 0.1 AND 0 <= D842 < 0.1
2,"D661,D685","0,0",2763,0.7366035723806985,0 <= D661 < 0.1 AND 0 <= D685 < 0.1
2,"D687,D844","0,0",2763,0.7366035723806985,0 <= D687 < 0.05 AND 0 <= D844 < 0.1
2,"D35,D53","0,0",2762,0.736336976806185,0 <= D35 < 0.0898321 AND 0 <= D53 < 0.087848
2,"D53,D157","0,0",2762,0.736336976806185,0 <= D53 < 0.087848 AND 0 <= D157 < 0.1
2,"D73,D675","0,0",2762,0.736336976806185,0 <= D73 < 0.0736891 AND 0 <= D675 < 0.1
2,"D156,D168","0,0",2762,0.736336976806185,0 <= D156 < 0.0714286 AND 0 <= D168 < 0.0714286
2,"D168,D211","0,0",2762,0.736336976806185,0 <= D168 < 0.0714286 AND 0 <= D211 < 0.1
2,"D180,D212","4,0",2762,0.736336976806185,0.391951 <= D180 < 0.466313 AND 0 <= D212 < 0.0993831
2,"D217,D686","5,0",2762,0.736336976806185,0.5 <= D217 < 0.6 AND 0 <= D686 < 0.1
2,"D514,D741","0,0",2762,0.736336976806185,0 <= D514 < 0.1 AND 0 <= D741 < 0.0869565
2,"D596,D841","0,0",2762,0.736336976806185,0 <= D596 < 0.1 AND 0 <= D841 < 0.1
2,"D596,D937","0,0",2762,0.736336976806185,0 <= D596 < 0.1 AND 0 <= D937 < 0.1
2,"D24,D661","0,0",2761,0.7360703812316716,0 <= D24 < 0.1 AND 0 <= D661 < 0.1
2,"D53,D180","0,4",2761,0.7360703812316716,0 <= D53 < 0.087848 AND 0.391951 <= D180 < 0.466313
2,"D57,D336","0,0",2761,0.7360703812316716,0 <= D57 < 0.0964878 AND 0 <= D336 < 0.1
2,"D129,D597","0,0",2761,0.7360703812316716,0 <= D129 < 0.1 AND 0 <= D597 < 0.1
2,"D161,D514","0,0",2761,0.7360703812316716,0 <= D161 < 0.075 AND 0 <= D514 < 0.1
2,"D166,D417","0,0",2761,0.7360703812316716,0 <= D166 < 0.1 AND 0 <= D417 < 0.0625
2,"D185,D462","0,0",2761,0.7360703812316716,0 <= D185 < 0.1 AND 0 <= D462 < 0.0666667
2,"D185,D470","0,0",2761,0.7360703812316716,0 <= D185 < 0.1 AND 0 <= D470 < 0.0583333
2,"D217,D598","5,0",2761,0.7360703812316716,0.5 <= D217 < 0.6 AND 0 <= D598 < 0.1
2,"D596,D936","0,0",2761,0.7360703812316716,0 <= D596 < 0.1 AND 0 <= D936 < 0.1
2,"D22,D175","0,1",2760,0.7358037856571581,0 <= D22 < 0.0896552 AND 0.0991675 <= D175 < 0.179435
2,"D53,D86","0,0",2760,0.7358037856571581,0 <= D53 < 0.087848 AND 0 <= D86 < 0.0846353
2,"D55,D129","0,0",2760,0.7358037856571581,0 <= D55 < 0.0945099 AND 0 <= D129 < 0.1
2,"D180,D417","4,0",2760,0.7358037856571581,0.391951 <= D180 < 0.466313 AND 0 <= D417 < 0.0625
2,"D185,D610","0,0",2760,0.7358037856571581,0 <= D185 < 0.1 AND 0 <= D610 < 0.1
2,"D185,D740","0,0",2760,0.7358037856571581,0 <= D185 < 0.1 AND 0 <= D740 < 0.0952381
2,"D418,D661","0,0",2760,0.7358037856571581,0 <= D418 < 0.08 AND 0 <= D661 < 0.1
2,"D419,D672","0,0",2760,0.7358037856571581,0 <= D419 < 0.1 AND 0 <= D672 < 0.0857143
2,"D608,D611","0,0",2760,0.7358037856571581,0 <= D608 < 0.1 AND 0 <= D611 < 0.05
2,"D662,D672","0,0",2760,0.7358037856571581,0 <= D662 < 0.1 AND 0 <= D672 < 0.0857143
2,"D688,D842","0,0",2760,0.7358037856571581,0 <= D688 < 0.1 AND 0 <= D842 < 0.1
2,"D22,D59","0,0",2759,0.7355371900826446,0 <= D22 < 0.0896552 AND 0 <= D59 < 0.1
2,"D35,D109","0,0",2759,0.7355371900826446,0 <= D35 < 0.0898321 AND 0 <= D109 < 0.0833333
2,"D54,D336","0,0",2759,0.7355371900826446,0 <= D54 < 0.0802514 AND 0 <= D336 < 0.1
2,"D57,D109","0,0",2759,0.7355371900826446,0 <= D57 < 0.0964878 AND 0 <= D109 < 0.0833333
2,"D161,D163","0,0",2759,0.7355371900826446,0 <= D161 < 0.075 AND 0 <= D163 < 0.09
2,"D163,D609","0,0",2759,0.7355371900826446,0 <= D163 < 0.09 AND 0 <= D609 < 0.075
2,"D164,D607","0,0",2759,0.7355371900826446,0 <= D164 < 0.1 AND 0 <= D607 < 0.0928571
2,"D212,D688","0,0",2759,0.7355371900826446,0 <= D212 < 0.0993831 AND 0 <= D688 < 0.1
2,"D214,D607","0,0",2759,0.7355371900826446,0 <= D214 < 0.0642111 AND 0 <= D607 < 0.0928571
2,"D223,D416","0,0",2759,0.7355371900826446,0 <= D223 < 0.096968 AND 0 <= D416 < 0.1
2,"D415,D740","0,0",2759,0.7355371900826446,0 <= D415 < 0.1 AND 0 <= D740 < 0.0952381
2,"D449,D750","0,0",2759,0.7355371900826446,0 <= D449 < 0.0875 AND 0 <= D750 < 0.1
2,"D740,D842","0,0",2759,0.7355371900826446,0 <= D740 < 0.0952381 AND 0 <= D842 < 0.1
1,D739,0,2758,0.7352705945081311,0 <= D739 < 0.0977273
2,"D53,D336","0,0",2758,0.7352705945081311,0 <= D53 < 0.087848 AND 0 <= D336 < 0.1
2,"D55,D164","0,0",2758,0.7352705945081311,0 <= D55 < 0.0945099 AND 0 <= D164 < 0.1
2,"D55,D214","0,0",2758,0.7352705945081311,0 <= D55 < 0.0945099 AND 0 <= D214 < 0.0642111
2,"D86,D842","0,0",2758,0.7352705945081311,0 <= D86 < 0.0846353 AND 0 <= D842 < 0.1
2,"D155,D158","0,0",2758,0.7352705945081311,0 <= D155 < 0.0764706 AND 0 <= D158 < 0.1
2,"D155,D741","0,0",2758,0.7352705945081311,0 <= D155 < 0.0764706 AND 0 <= D741 < 0.0869565
2,"D155,D842","0,0",2758,0.7352705945081311,0 <= D155 < 0.0764706 AND 0 <= D842 < 0.1
2,"D212,D470","0,0",2758,0.7352705945081311,0 <= D212 < 0.0993831 AND 0 <= D470 < 0.0583333
2,"D460,D750","0,0",2758,0.7352705945081311,0 <= D460 < 0.1 AND 0 <= D750 < 0.1
2,"D621,D661","0,0",2758,0.7352705945081311,0 <= D621 < 0.052381 AND 0 <= D661 < 0.1
2,"D674,D936","0,0",2758,0.7352705945081311,0 <= D674 < 0.1 AND 0 <= D936 < 0.1
2,"D674,D937","0,0",2758,0.7352705945081311,0 <= D674 < 0.1 AND 0 <= D937 < 0.1
1,D66,0,2757,0.7350039989336177,0 <= D66 < 0.0676523
2,"D22,D163","0,0",2757,0.7350039989336177,0 <= D22 < 0.0896552 AND 0 <= D163 < 0.09
2,"D68,D166","0,0",2757,0.7350039989336177,0 <= D68 < 0.09375 AND 0 <= D166 < 0.1
2,"D73,D418","0,0",2757,0.7350039989336177,0 <= D73 < 0.0736891 AND 0 <= D418 < 0.08
2,"D109,D135","0,0",2757,0.7350039989336177,0 <= D109 < 0.0833333 AND 0 <= D135 < 0.1
2,"D109,D417","0,0",2757,0.7350039989336177,0 <= D109 < 0.0833333 AND 0 <= D417 < 0.0625
2,"D119,D223","0,0",2757,0.7350039989336177,0 <= D119 < 0.1 AND 0 <= D223 < 0.096968
2,"D156,D165","0,0",2757,0.7350039989336177,0 <= D156 < 0.0714286 AND 0 <= D165 < 0.1
2,"D156,D215","0,0",2757,0.7350039989336177,0 <= D156 < 0.0714286 AND 0 <= D215 < 0.1
2,"D165,D211","0,0",2757,0.7350039989336177,0 <= D165 < 0.1 AND 0 <= D211 < 0.1
2,"D180,D596","4,0",2757,0.7350039989336177,0.391951 <= D180 < 0.466313 AND 0 <= D596 < 0.1
2,"D203,D419","0,0",2757,0.7350039989336177,0 <= D203 < 0.0976333 AND 0 <= D419 < 0.1
2,"D211,D215","0,0",2757,0.7350039989336177,0 <= D211 < 0.1 AND 0 <= D215 < 0.1
2,"D216,D514","0,0",2757,0.7350039989336177,0 <= D216 < 0.1 AND 0 <= D514 < 0.1
2,"D217,D741","5,0",2757,0.7350039989336177,0.5 <= D217 < 0.6 AND 0 <= D741 < 0.0869565
2,"D223,D470","0,0",2757,0.7350039989336177,0 <= D223 < 0.096968 AND 0 <= D470 < 0.0583333
2,"D673,D740","0,0",2757,0.7350039989336177,0 <= D673 < 0.1 AND 0 <= D740 < 0.0952381
2,"D22,D37","0,0",2756,0.7347374033591042,0 <= D22 < 0.0896552 AND 0 <= D37 < 0.1
2,"D22,D157","0,0",2756,0.7347374033591042,0 <= D22 < 0.0896552 AND 0 <= D157 < 0.1
2,"D22,D741","0,0",2756,0.7347374033591042,0 <= D22 < 0.0896552 AND 0 <= D741 < 0.0869565
2,"D24,D687","0,0",2756,0.7347374033591042,0 <= D24 < 0.1 AND 0 <= D687 < 0.05
2,"D35,D626","0,0",2756,0.7347374033591042,0 <= D35 < 0.0898321 AND 0 <= D626 < 0.07
2,"D54,D740","0,0",2756,0.7347374033591042,0 <= D54 < 0.0802514 AND 0 <= D740 < 0.0952381
2,"D57,D163","0,0",2756,0.7347374033591042,0 <= D57 < 0.0964878 AND 0 <= D163 < 0.09
2,"D57,D610","0,0",2756,0.7347374033591042,0 <= D57 < 0.0964878 AND 0 <= D610 < 0.1
2,"D110,D158","0,0",2756,0.7347374033591042,0 <= D110 < 0.1 AND 0 <= D158 < 0.1
2,"D129,D156","0,0",2756,0.7347374033591042,0 <= D129 < 0.1 AND 0 <= D156 < 0.0714286
2,"D129,D211","0,0",2756,0.7347374033591042,0 <= D129 < 0.1 AND 0 <= D211 < 0.1
2,"D156,D460","0,0",2756,0.7347374033591042,0 <= D156 < 0.0714286 AND 0 <= D460 < 0.1
2,"D180,D699","4,0",2756,0.7347374033591042,0.391951 <= D180 < 0.466313 AND 0 <= D699 < 0.1
2,"D203,D621","0,0",2756,0.7347374033591042,0 <= D203 < 0.0976333 AND 0 <= D621 < 0.052381
2,"D211,D460","0,0",2756,0.7347374033591042,0 <= D211 < 0.1 AND 0 <= D460 < 0.1
2,"D227,D426","0,0",2756,0.7347374033591042,0 <= D227 < 0.1 AND 0 <= D426 < 0.1
2,"D361,D674","0,0",2756,0.7347374033591042,0 <= D361 < 0.1 AND 0 <= D674 < 0.1
2,"D457,D472","0,0",2756,0.7347374033591042,0 <= D457 < 0.052381 AND 0 <= D472 < 0.0923077
2,"D462,D926","0,0",2756,0.7347374033591042,0 <= D462 < 0.0666667 AND 0 <= D926 < 0.085
2,"D514,D844","0,0",2756,0.7347374033591042,0 <= D514 < 0.1 AND 0 <= D844 < 0.1
2,"D608,D610","0,0",2756,0.7347374033591042,0 <= D608 < 0.1 AND 0 <= D610 < 0.1
1,D159,0,2755,0.7344708077845907,0 <= D159 < 0.0451613
2,"D4,D185","0,0",2755,0.7344708077845907,0 <= D4 < 0.1 AND 0 <= D185 < 0.1
2,"D4,D217","0,5",2755,0.7344708077845907,0 <= D4 < 0.1 AND 0.5 <= D217 < 0.6
2,"D24,D686","0,0",2755,0.7344708077845907,0 <= D24 < 0.1 AND 0 <= D686 < 0.1
2,"D54,D686","0,0",2755,0.7344708077845907,0 <= D54 < 0.0802514 AND 0 <= D686 < 0.1
2,"D55,D155","0,0",2755,0.7344708077845907,0 <= D55 < 0.0945099 AND 0 <= D155 < 0.0764706
2,"D86,D161","0,0",2755,0.7344708077845907,0 <= D86 < 0.0846353 AND 0 <= D161 < 0.075
2,"D109,D161","0,0",2755,0.7344708077845907,0 <= D109 < 0.0833333 AND 0 <= D161 < 0.075
2,"D165,D699","0,0",2755,0.7344708077845907,0 <= D165 < 0.1 AND 0 <= D699 < 0.1
